image,class_id,class_type,time_of_day,range,orientation
INPUT\Dataset\cegr1923\cegr01923_0001_1104_PICKUP.mat,0001,PICKUP,Night,1000,1104
INPUT\Dataset\cegr1923\cegr01923_0001_1105_PICKUP.mat,0001,PICKUP,Night,1000,1105
INPUT\Dataset\cegr1923\cegr01923_0001_1106_PICKUP.mat,0001,PICKUP,Night,1000,1106
INPUT\Dataset\cegr1923\cegr01923_0001_1107_PICKUP.mat,0001,PICKUP,Night,1000,1107
INPUT\Dataset\cegr1923\cegr01923_0001_1108_PICKUP.mat,0001,PICKUP,Night,1000,1108
INPUT\Dataset\cegr1923\cegr01923_0001_1109_PICKUP.mat,0001,PICKUP,Night,1000,1109
INPUT\Dataset\cegr1923\cegr01923_0001_1110_PICKUP.mat,0001,PICKUP,Night,1000,1110
INPUT\Dataset\cegr1923\cegr01923_0001_1111_PICKUP.mat,0001,PICKUP,Night,1000,1111
INPUT\Dataset\cegr1923\cegr01923_0001_1112_PICKUP.mat,0001,PICKUP,Night,1000,1112
INPUT\Dataset\cegr1923\cegr01923_0001_1113_PICKUP.mat,0001,PICKUP,Night,1000,1113
INPUT\Dataset\cegr1923\cegr01923_0001_1114_PICKUP.mat,0001,PICKUP,Night,1000,1114
INPUT\Dataset\cegr1923\cegr01923_0001_1115_PICKUP.mat,0001,PICKUP,Night,1000,1115
INPUT\Dataset\cegr1923\cegr01923_0001_1116_PICKUP.mat,0001,PICKUP,Night,1000,1116
INPUT\Dataset\cegr1923\cegr01923_0001_1117_PICKUP.mat,0001,PICKUP,Night,1000,1117
INPUT\Dataset\cegr1923\cegr01923_0001_1118_PICKUP.mat,0001,PICKUP,Night,1000,1118
INPUT\Dataset\cegr1923\cegr01923_0001_1119_PICKUP.mat,0001,PICKUP,Night,1000,1119
INPUT\Dataset\cegr1923\cegr01923_0001_1120_PICKUP.mat,0001,PICKUP,Night,1000,1120
INPUT\Dataset\cegr1923\cegr01923_0001_1121_PICKUP.mat,0001,PICKUP,Night,1000,1121
INPUT\Dataset\cegr1923\cegr01923_0001_1122_PICKUP.mat,0001,PICKUP,Night,1000,1122
INPUT\Dataset\cegr1923\cegr01923_0001_1123_PICKUP.mat,0001,PICKUP,Night,1000,1123
INPUT\Dataset\cegr1923\cegr01923_0001_1124_PICKUP.mat,0001,PICKUP,Night,1000,1124
INPUT\Dataset\cegr1923\cegr01923_0001_1125_PICKUP.mat,0001,PICKUP,Night,1000,1125
INPUT\Dataset\cegr1923\cegr01923_0001_1126_PICKUP.mat,0001,PICKUP,Night,1000,1126
INPUT\Dataset\cegr1923\cegr01923_0001_1127_PICKUP.mat,0001,PICKUP,Night,1000,1127
INPUT\Dataset\cegr1923\cegr01923_0001_1128_PICKUP.mat,0001,PICKUP,Night,1000,1128
INPUT\Dataset\cegr1923\cegr01923_0001_1129_PICKUP.mat,0001,PICKUP,Night,1000,1129
INPUT\Dataset\cegr1923\cegr01923_0001_1130_PICKUP.mat,0001,PICKUP,Night,1000,1130
INPUT\Dataset\cegr1923\cegr01923_0001_1131_PICKUP.mat,0001,PICKUP,Night,1000,1131
INPUT\Dataset\cegr1923\cegr01923_0001_1132_PICKUP.mat,0001,PICKUP,Night,1000,1132
INPUT\Dataset\cegr1923\cegr01923_0001_1133_PICKUP.mat,0001,PICKUP,Night,1000,1133
INPUT\Dataset\cegr1923\cegr01923_0001_1134_PICKUP.mat,0001,PICKUP,Night,1000,1134
INPUT\Dataset\cegr1923\cegr01923_0001_1135_PICKUP.mat,0001,PICKUP,Night,1000,1135
INPUT\Dataset\cegr1923\cegr01923_0001_1136_PICKUP.mat,0001,PICKUP,Night,1000,1136
INPUT\Dataset\cegr1923\cegr01923_0001_1137_PICKUP.mat,0001,PICKUP,Night,1000,1137
INPUT\Dataset\cegr1923\cegr01923_0001_1138_PICKUP.mat,0001,PICKUP,Night,1000,1138
INPUT\Dataset\cegr1923\cegr01923_0001_1139_PICKUP.mat,0001,PICKUP,Night,1000,1139
INPUT\Dataset\cegr1923\cegr01923_0001_1140_PICKUP.mat,0001,PICKUP,Night,1000,1140
INPUT\Dataset\cegr1923\cegr01923_0001_1141_PICKUP.mat,0001,PICKUP,Night,1000,1141
INPUT\Dataset\cegr1923\cegr01923_0001_1142_PICKUP.mat,0001,PICKUP,Night,1000,1142
INPUT\Dataset\cegr1923\cegr01923_0001_1143_PICKUP.mat,0001,PICKUP,Night,1000,1143
INPUT\Dataset\cegr1923\cegr01923_0001_1144_PICKUP.mat,0001,PICKUP,Night,1000,1144
INPUT\Dataset\cegr1923\cegr01923_0001_1145_PICKUP.mat,0001,PICKUP,Night,1000,1145
INPUT\Dataset\cegr1923\cegr01923_0001_1146_PICKUP.mat,0001,PICKUP,Night,1000,1146
INPUT\Dataset\cegr1923\cegr01923_0001_1147_PICKUP.mat,0001,PICKUP,Night,1000,1147
INPUT\Dataset\cegr1923\cegr01923_0001_1148_PICKUP.mat,0001,PICKUP,Night,1000,1148
INPUT\Dataset\cegr1923\cegr01923_0001_1149_PICKUP.mat,0001,PICKUP,Night,1000,1149
INPUT\Dataset\cegr1923\cegr01923_0001_1150_PICKUP.mat,0001,PICKUP,Night,1000,1150
INPUT\Dataset\cegr1923\cegr01923_0001_1151_PICKUP.mat,0001,PICKUP,Night,1000,1151
INPUT\Dataset\cegr1923\cegr01923_0001_1152_PICKUP.mat,0001,PICKUP,Night,1000,1152
INPUT\Dataset\cegr1923\cegr01923_0001_1153_PICKUP.mat,0001,PICKUP,Night,1000,1153
INPUT\Dataset\cegr1923\cegr01923_0001_1154_PICKUP.mat,0001,PICKUP,Night,1000,1154
INPUT\Dataset\cegr1923\cegr01923_0001_1155_PICKUP.mat,0001,PICKUP,Night,1000,1155
INPUT\Dataset\cegr1923\cegr01923_0001_1156_PICKUP.mat,0001,PICKUP,Night,1000,1156
INPUT\Dataset\cegr1923\cegr01923_0001_1157_PICKUP.mat,0001,PICKUP,Night,1000,1157
INPUT\Dataset\cegr1923\cegr01923_0001_1158_PICKUP.mat,0001,PICKUP,Night,1000,1158
INPUT\Dataset\cegr1923\cegr01923_0001_1159_PICKUP.mat,0001,PICKUP,Night,1000,1159
INPUT\Dataset\cegr1923\cegr01923_0001_1160_PICKUP.mat,0001,PICKUP,Night,1000,1160
INPUT\Dataset\cegr1923\cegr01923_0001_1161_PICKUP.mat,0001,PICKUP,Night,1000,1161
INPUT\Dataset\cegr1923\cegr01923_0001_1162_PICKUP.mat,0001,PICKUP,Night,1000,1162
INPUT\Dataset\cegr1923\cegr01923_0001_1163_PICKUP.mat,0001,PICKUP,Night,1000,1163
INPUT\Dataset\cegr1923\cegr01923_0001_1164_PICKUP.mat,0001,PICKUP,Night,1000,1164
INPUT\Dataset\cegr1923\cegr01923_0001_1165_PICKUP.mat,0001,PICKUP,Night,1000,1165
INPUT\Dataset\cegr1923\cegr01923_0001_1166_PICKUP.mat,0001,PICKUP,Night,1000,1166
INPUT\Dataset\cegr1923\cegr01923_0001_1167_PICKUP.mat,0001,PICKUP,Night,1000,1167
INPUT\Dataset\cegr1923\cegr01923_0001_1168_PICKUP.mat,0001,PICKUP,Night,1000,1168
INPUT\Dataset\cegr1923\cegr01923_0001_1169_PICKUP.mat,0001,PICKUP,Night,1000,1169
INPUT\Dataset\cegr1923\cegr01923_0001_1170_PICKUP.mat,0001,PICKUP,Night,1000,1170
INPUT\Dataset\cegr1923\cegr01923_0001_1171_PICKUP.mat,0001,PICKUP,Night,1000,1171
INPUT\Dataset\cegr1923\cegr01923_0001_1172_PICKUP.mat,0001,PICKUP,Night,1000,1172
INPUT\Dataset\cegr1923\cegr01923_0001_1173_PICKUP.mat,0001,PICKUP,Night,1000,1173
INPUT\Dataset\cegr1923\cegr01923_0001_1174_PICKUP.mat,0001,PICKUP,Night,1000,1174
INPUT\Dataset\cegr1923\cegr01923_0001_1175_PICKUP.mat,0001,PICKUP,Night,1000,1175
INPUT\Dataset\cegr1923\cegr01923_0001_1176_PICKUP.mat,0001,PICKUP,Night,1000,1176
INPUT\Dataset\cegr1923\cegr01923_0001_1177_PICKUP.mat,0001,PICKUP,Night,1000,1177
INPUT\Dataset\cegr1923\cegr01923_0001_1178_PICKUP.mat,0001,PICKUP,Night,1000,1178
INPUT\Dataset\cegr1923\cegr01923_0001_1179_PICKUP.mat,0001,PICKUP,Night,1000,1179
INPUT\Dataset\cegr1923\cegr01923_0001_1180_PICKUP.mat,0001,PICKUP,Night,1000,1180
INPUT\Dataset\cegr1923\cegr01923_0001_1181_PICKUP.mat,0001,PICKUP,Night,1000,1181
INPUT\Dataset\cegr1923\cegr01923_0001_1182_PICKUP.mat,0001,PICKUP,Night,1000,1182
INPUT\Dataset\cegr1923\cegr01923_0001_1183_PICKUP.mat,0001,PICKUP,Night,1000,1183
INPUT\Dataset\cegr1923\cegr01923_0001_1184_PICKUP.mat,0001,PICKUP,Night,1000,1184
INPUT\Dataset\cegr1923\cegr01923_0001_1185_PICKUP.mat,0001,PICKUP,Night,1000,1185
INPUT\Dataset\cegr1923\cegr01923_0001_1186_PICKUP.mat,0001,PICKUP,Night,1000,1186
INPUT\Dataset\cegr1923\cegr01923_0001_1187_PICKUP.mat,0001,PICKUP,Night,1000,1187
INPUT\Dataset\cegr1923\cegr01923_0001_1188_PICKUP.mat,0001,PICKUP,Night,1000,1188
INPUT\Dataset\cegr1923\cegr01923_0001_1189_PICKUP.mat,0001,PICKUP,Night,1000,1189
INPUT\Dataset\cegr1923\cegr01923_0001_1190_PICKUP.mat,0001,PICKUP,Night,1000,1190
INPUT\Dataset\cegr1923\cegr01923_0001_1191_PICKUP.mat,0001,PICKUP,Night,1000,1191
INPUT\Dataset\cegr1923\cegr01923_0001_1192_PICKUP.mat,0001,PICKUP,Night,1000,1192
INPUT\Dataset\cegr1923\cegr01923_0001_1193_PICKUP.mat,0001,PICKUP,Night,1000,1193
INPUT\Dataset\cegr1923\cegr01923_0001_1194_PICKUP.mat,0001,PICKUP,Night,1000,1194
INPUT\Dataset\cegr1923\cegr01923_0001_1195_PICKUP.mat,0001,PICKUP,Night,1000,1195
INPUT\Dataset\cegr1923\cegr01923_0001_1196_PICKUP.mat,0001,PICKUP,Night,1000,1196
INPUT\Dataset\cegr1923\cegr01923_0001_1197_PICKUP.mat,0001,PICKUP,Night,1000,1197
INPUT\Dataset\cegr1923\cegr01923_0001_1198_PICKUP.mat,0001,PICKUP,Night,1000,1198
INPUT\Dataset\cegr1923\cegr01923_0001_1199_PICKUP.mat,0001,PICKUP,Night,1000,1199
INPUT\Dataset\cegr1923\cegr01923_0001_1200_PICKUP.mat,0001,PICKUP,Night,1000,1200
INPUT\Dataset\cegr1923\cegr01923_0001_1201_PICKUP.mat,0001,PICKUP,Night,1000,1201
INPUT\Dataset\cegr1923\cegr01923_0001_1202_PICKUP.mat,0001,PICKUP,Night,1000,1202
INPUT\Dataset\cegr1923\cegr01923_0001_1203_PICKUP.mat,0001,PICKUP,Night,1000,1203
INPUT\Dataset\cegr1923\cegr01923_0001_1204_PICKUP.mat,0001,PICKUP,Night,1000,1204
INPUT\Dataset\cegr1923\cegr01923_0001_1205_PICKUP.mat,0001,PICKUP,Night,1000,1205
INPUT\Dataset\cegr1923\cegr01923_0001_1206_PICKUP.mat,0001,PICKUP,Night,1000,1206
INPUT\Dataset\cegr1923\cegr01923_0001_1207_PICKUP.mat,0001,PICKUP,Night,1000,1207
INPUT\Dataset\cegr1923\cegr01923_0001_1208_PICKUP.mat,0001,PICKUP,Night,1000,1208
INPUT\Dataset\cegr1923\cegr01923_0001_1209_PICKUP.mat,0001,PICKUP,Night,1000,1209
INPUT\Dataset\cegr1923\cegr01923_0001_1210_PICKUP.mat,0001,PICKUP,Night,1000,1210
INPUT\Dataset\cegr1923\cegr01923_0001_1211_PICKUP.mat,0001,PICKUP,Night,1000,1211
INPUT\Dataset\cegr1923\cegr01923_0001_1212_PICKUP.mat,0001,PICKUP,Night,1000,1212
INPUT\Dataset\cegr1923\cegr01923_0001_1213_PICKUP.mat,0001,PICKUP,Night,1000,1213
INPUT\Dataset\cegr1923\cegr01923_0001_1214_PICKUP.mat,0001,PICKUP,Night,1000,1214
INPUT\Dataset\cegr1923\cegr01923_0001_1215_PICKUP.mat,0001,PICKUP,Night,1000,1215
INPUT\Dataset\cegr1923\cegr01923_0001_1216_PICKUP.mat,0001,PICKUP,Night,1000,1216
INPUT\Dataset\cegr1923\cegr01923_0001_1217_PICKUP.mat,0001,PICKUP,Night,1000,1217
INPUT\Dataset\cegr1923\cegr01923_0001_1218_PICKUP.mat,0001,PICKUP,Night,1000,1218
INPUT\Dataset\cegr1923\cegr01923_0001_1219_PICKUP.mat,0001,PICKUP,Night,1000,1219
INPUT\Dataset\cegr1923\cegr01923_0001_1220_PICKUP.mat,0001,PICKUP,Night,1000,1220
INPUT\Dataset\cegr1923\cegr01923_0001_1221_PICKUP.mat,0001,PICKUP,Night,1000,1221
INPUT\Dataset\cegr1923\cegr01923_0001_1222_PICKUP.mat,0001,PICKUP,Night,1000,1222
INPUT\Dataset\cegr1923\cegr01923_0001_1223_PICKUP.mat,0001,PICKUP,Night,1000,1223
INPUT\Dataset\cegr1923\cegr01923_0001_1224_PICKUP.mat,0001,PICKUP,Night,1000,1224
INPUT\Dataset\cegr1923\cegr01923_0001_1225_PICKUP.mat,0001,PICKUP,Night,1000,1225
INPUT\Dataset\cegr1923\cegr01923_0001_1226_PICKUP.mat,0001,PICKUP,Night,1000,1226
INPUT\Dataset\cegr1923\cegr01923_0001_1227_PICKUP.mat,0001,PICKUP,Night,1000,1227
INPUT\Dataset\cegr1923\cegr01923_0001_1228_PICKUP.mat,0001,PICKUP,Night,1000,1228
INPUT\Dataset\cegr1923\cegr01923_0001_1229_PICKUP.mat,0001,PICKUP,Night,1000,1229
INPUT\Dataset\cegr1923\cegr01923_0001_1230_PICKUP.mat,0001,PICKUP,Night,1000,1230
INPUT\Dataset\cegr1923\cegr01923_0001_1231_PICKUP.mat,0001,PICKUP,Night,1000,1231
INPUT\Dataset\cegr1923\cegr01923_0001_1232_PICKUP.mat,0001,PICKUP,Night,1000,1232
INPUT\Dataset\cegr1923\cegr01923_0001_1233_PICKUP.mat,0001,PICKUP,Night,1000,1233
INPUT\Dataset\cegr1923\cegr01923_0001_1234_PICKUP.mat,0001,PICKUP,Night,1000,1234
INPUT\Dataset\cegr1923\cegr01923_0001_1235_PICKUP.mat,0001,PICKUP,Night,1000,1235
INPUT\Dataset\cegr1923\cegr01923_0001_1236_PICKUP.mat,0001,PICKUP,Night,1000,1236
INPUT\Dataset\cegr1923\cegr01923_0001_1237_PICKUP.mat,0001,PICKUP,Night,1000,1237
INPUT\Dataset\cegr1923\cegr01923_0001_1238_PICKUP.mat,0001,PICKUP,Night,1000,1238
INPUT\Dataset\cegr1923\cegr01923_0001_1239_PICKUP.mat,0001,PICKUP,Night,1000,1239
INPUT\Dataset\cegr1923\cegr01923_0001_1240_PICKUP.mat,0001,PICKUP,Night,1000,1240
INPUT\Dataset\cegr1923\cegr01923_0001_1241_PICKUP.mat,0001,PICKUP,Night,1000,1241
INPUT\Dataset\cegr1923\cegr01923_0001_1242_PICKUP.mat,0001,PICKUP,Night,1000,1242
INPUT\Dataset\cegr1923\cegr01923_0001_1243_PICKUP.mat,0001,PICKUP,Night,1000,1243
INPUT\Dataset\cegr1923\cegr01923_0001_1244_PICKUP.mat,0001,PICKUP,Night,1000,1244
INPUT\Dataset\cegr1923\cegr01923_0001_1245_PICKUP.mat,0001,PICKUP,Night,1000,1245
INPUT\Dataset\cegr1923\cegr01923_0001_1246_PICKUP.mat,0001,PICKUP,Night,1000,1246
INPUT\Dataset\cegr1923\cegr01923_0001_1247_PICKUP.mat,0001,PICKUP,Night,1000,1247
INPUT\Dataset\cegr1923\cegr01923_0001_1248_PICKUP.mat,0001,PICKUP,Night,1000,1248
INPUT\Dataset\cegr1923\cegr01923_0001_1249_PICKUP.mat,0001,PICKUP,Night,1000,1249
INPUT\Dataset\cegr1923\cegr01923_0001_1250_PICKUP.mat,0001,PICKUP,Night,1000,1250
INPUT\Dataset\cegr1923\cegr01923_0001_1251_PICKUP.mat,0001,PICKUP,Night,1000,1251
INPUT\Dataset\cegr1923\cegr01923_0001_1252_PICKUP.mat,0001,PICKUP,Night,1000,1252
